,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2988,UMP9,pouyahoe,36.0,358132.6,399682.4,ERANGEL,2U4GBNA0YmmZQ2J9Yb52vKPLwbhBwawIljBpPRhTi_79yTam0v7xmhrScrvgk6Jz,229.0,SHAYNEISPIMP,38.0,357407.6,401143.9
5647,Mini 14,dabaozi1,1.0,354598.6,321371.0,ERANGEL,2U4GBNA0YmnIkC2agUfbPkAgjSdKzB4peHEfhtUOmLKAc8G9lzMoBMtZ33Q5p9ll,1444.0,JUSTON,8.0,344961.2,343847.0
1318,M416,huya70568yueding,4.0,198850.3,477524.0,ERANGEL,2U4GBNA0YmnMiL8FxzK-xRalmDs8__VvvNzmntjlIzBi0DttiOYQ5ltAx4LN3Q0q,1524.0,SuSoda,14.0,198582.0,483982.9
3702,Punch,SnoopDODubb,23.0,158556.5,578170.6,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,160.0,trolling_logic,23.0,160119.1,578157.1
633,SCAR-L,Meilaoshi,25.0,437493.9,333094.4,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,496.0,Xiaoranya,27.0,437003.6,332930.4
1158,AKM,hswk-NO3,13.0,549749.2,252997.6,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,577.0,ONELEY,7.0,549989.3,253527.3
6900,M16A4,xXStay_WetXx,17.0,603959.1,468807.7,ERANGEL,2U4GBNA0YmmIxbJL37qDrRDRIz-J5zFYcAFZi9szltH9Eg0-FNv_70KrOtW4aMxD,189.0,cho_g8,12.0,597360.8,469897.6
4506,SCAR-L,PanlinA0706,23.0,220224.6,348226.6,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,845.0,dee2h,33.0,222422.4,340268.3
3760,M24,Pineaqple,1.0,322285.9,239256.9,ERANGEL,2U4GBNA0Ymmqi6D7r12UG8ati2jqy4CV05j9y-WqN6DaTb3ViX7zAkhxTGYUWzF3,1815.0,yinbanxian,3.0,329451.8,230841.5
4353,S686,jiaoshou_li,18.0,626726.7,377890.2,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,377.0,dafeijipeng233,18.0,0.0,0.0
3905,Tommy Gun,hotgamergirl18,24.0,203658.0,282192.8,ERANGEL,2U4GBNA0YmkDstXLYHK5B7Jq1QzLWJ-HeVx4TzVSkV3lpPTNiKcc1WXBp3-XkQZp,97.0,yb-ay1314,45.0,202479.2,281396.4
